epoch,test_acc,compression_ratio
1,10.0,50.01435094585779
2,10.0,50.01435094585779
3,10.0,50.01435094585779
4,10.0,50.01435094585779
5,10.0,50.01435094585779
6,10.0,50.01435094585779
7,10.0,50.01435094585779
8,10.0,50.01435094585779
9,10.0,50.01435094585779
10,10.0,50.01435094585779
11,10.0,50.01435094585779
12,10.0,50.01435094585779
13,10.0,50.01435094585779
14,10.0,50.01435094585779
15,10.0,50.01435094585779
16,10.0,50.01435094585779
17,10.0,50.01435094585779
18,10.0,50.01435094585779
19,10.0,50.01435094585779
20,10.0,50.01435094585779
21,10.0,50.01435094585779
22,10.0,50.01435094585779
23,10.0,50.01435094585779
24,10.0,50.01435094585779
25,10.0,50.01435094585779
26,10.0,50.01435094585779
27,10.0,50.01435094585779
28,10.0,50.01435094585779
29,10.0,50.01435094585779
30,10.0,50.01435094585779
